ENG	FR	eng_stem	fr_stem	ratio_similarity
clink	choquer	clink	choqu	20
cloak	manteau	cloak	manteau	17
clock	l'horloge	clock	l'horlog	31
clockwork	horloge	clockwork	horlog	27
cluck	glousser	cluck	glouss	36
coachwork	carrosserie	coachwork	carrosser	33
coalblack	charbon noir	coalblack	charbon noir	19
cock	coq	cock	coq	57
comeback	revenir	comeback	reven	15
conk	pif	conk	pif	0
cook	cuisiner	cook	cuisin	20
cookbook	livre de recettes	cookbook	livre de recet	9
cork	Liège	cork	lieg	0
counterattack	contre-attaque	counterattack	contre-attaqu	69
coursebook	livre de cours	coursebook	livre de cour	35
coursework	cours	coursework	cour	57
crack	fissure	crack	fissur	18
crank	manivelle	crank	manivel	33
creak	craquer	creak	craqu	60
creek	ruisseau	creek	ruisseau	31
crick	crampe	crick	cramp	40
croak	crever	croak	crev	44
crock	cruche	crock	cruch	60
crook	escroc	crook	escroc	55
crosscheck	recoupement	crosscheck	recoup	38
crosstalk	diaphonie	crosstalk	diaphon	12
cutback	réduire	cutback	réduir	15
cyberpunk	cyberpunk	cyberpunk	cyberpunk	100
damask	damassé	damask	damass	83
dank	humide	dank	humid	22
dark	foncé	dark	fonc	0
daybreak	aube	daybreak	aub	36
deadlock	impasse	deadlock	impass	14
debark	écorcer	debark	écorc	18
debunk	discréditer	debunk	discrédit	13
deck	plate-forme	deck	plate-form	14
deklerk	Deklerk	deklerk	deklerk	100
denmark	Danemark	denmark	danemark	80
derrick	derrick	derrick	derrick	100
desk	pupitre	desk	pupitr	0
dipstick	jauge	dipstick	jaug	0
disembark	débarquer	disembark	débarqu	50
dock	quai	dock	quai	0
doubletalk	doubletalk	doubletalk	doubletalk	100
drank	buvait	drank	buv	0
drawback	inconvénient	drawback	inconvénient	10
drink	boire	drink	boir	22
drunk	ivre	drunk	ivre	22
duck	canard	duck	canard	20
dumbstruck	sidéré	dumbstruck	sider	27
dunkirk	Dunkerque	dunkirk	dunkerqu	67
dusk	crépuscule	dusk	crépuscul	31
earmark	marque	earmark	marqu	50
earthwork	terrassement	earthwork	terrass	25
elk	wapiti	elk	wapit	0
embank	remuer	embank	remu	40
embark	embarquer	embark	embarqu	77
feedback	retour d'information	feedback	retour d'inform	9
feedstock	matière première	feedstock	matière premi	18
fetlock	boulet	fetlock	boulet	31
fieldwork	travail sur le terrain	fieldwork	travail sur le terrain	19
fightback	se défendre	fightback	se défendr	11
firework	feu d'artifice	firework	feu d'artific	19
fishhook	hameçon	fishhook	hameçon	27
flack	flack	flack	flack	100
flak	flak	flak	flak	100
flank	flanc	flank	flanc	80
flapjack	flapjack	flapjack	flapjack	100
flashback	retour en arrière	flashback	retour en arri	9
flask	ballon	flask	ballon	18
fleck	tache	fleck	tach	22
flick	feuilleter	flick	feuillet	31
flintlock	silex	flintlock	silex	14
flock	troupeau	flock	troupeau	15
fogbank	brouillard	fogbank	brouillard	24
folk	populaire	folk	populair	33
footwork	jeu de jambes	footwork	jeu de jamb	0
foredeck	pont avant	foredeck	pont av	13
forelock	mèche	forelock	mech	33
fork	fourchette	fork	fourchet	50
forsook	abandonner	forsook	abandon	14
framework	cadre	framework	cadr	15
frank	franc	frank	franc	80
freak	Freak	freak	freak	100
fretwork	chantournage	fretwork	chantournag	11
frisk	fouiller	frisk	fouill	36
frock	robe	frock	rob	50
fullback	arrière	fullback	arrier	14
funk	trouille	funk	trouill	18
gangplank	passerelle de débarquement	gangplank	passerelle de débarqu	20
gawk	rester bouche bée	gawk	rester bouche b	0
gdansk	Gdansk	gdansk	gdansk	100
gearstick	levier de vitesse	gearstick	levier de vitess	24
geek	geek	geek	geek	100
gemsbok	gemsbok	gemsbok	gemsbok	100
gentlefolk	gentilhomme	gentlefolk	gentilhomm	60
getrichquick	getrichquick	getrichquick	getrichquick	100
gimcrack	de pacotille	gimcrack	de pacotill	21
gimmick	truc	gimmick	truc	18
gobbledegook	gobbledegook	gobbledegook	gobbledegook	100
gobbledygook	charabia	gobbledygook	charabi	11
greek	grec	greek	grec	67
gridlock	embouteillage	gridlock	embouteillag	10
groundwork	travail de fond	groundwork	travail de fond	32
guesswork	conjectures	guesswork	conjectur	22
guidebook	guide	guidebook	guid	62
gunk	crasse	gunk	crass	0
hack	pirater	hack	pirat	22
haddock	églefin	haddock	églefin	0
hallmark	poinçonner	hallmark	poinçon	0
hammock	hamac	hammock	hamac	67
handbook	manuel	handbook	manuel	29
handiwork	ouvrage	handiwork	ouvrag	13
hardback	relié	hardback	reli	17
hark	écoute	hark	écout	0
hatchback	berline	hatchback	berlin	13
hatrack	porte-chapeaux	hatrack	porte-chapeau	30
hattrick	tour de chapeau	hattrick	tour de chapeau	17
haversack	musette	haversack	muset	14
hawk	faucon	hawk	faucon	20
haystack	meule de foin	haystack	meule de foin	0
headlock	prise de tête	headlock	prise de têt	20
headstock	poupée	headstock	poup	15
headwork	travail de tête	headwork	travail de têt	9
heartbreak	peine d'amour	heartbreak	peine d'amour	26
heck	Zut	heck	zut	0
hemlock	ciguë	hemlock	cigu	18
henpeck	henpeck	henpeck	henpeck	100
hideandseek	cache-cache	hideandseek	cache-cach	29
highjack	highjack	highjack	highjack	100
hijack	détourner	hijack	détourn	0
hillock	butte	hillock	butt	0
hock	jarret	hock	jarret	0
homesick	le mal du pays	homesick	le mal du pay	10
homework	devoirs	homework	devoir	29
honk	klaxonner	honk	klaxon	40
hoodwink	frauder	hoodwink	fraud	15
hook	accrocher	hook	accroch	18
horseback	à cheval	horseback	à cheval	35
housework	travaux ménagers	housework	travaux ménager	25
hulk	ponton	hulk	ponton	0
hummock	monticule	hummock	monticul	40
humpback	à bosse	humpback	à boss	14
hunchback	bossu	hunchback	bossu	14
hunk	gros morceau	hunk	gros morceau	12
husk	décortiquer	husk	décortiqu	15
hymnbook	recueil de chants	hymnbook	recueil de ch	10
icepack	pack de glace	icepack	pack de glac	42
icepick	pic à glace	icepick	pic à glac	35
ilk	acabit	ilk	acab	0
ink	encrer	ink	encrer	22
interbank	interbancaire	interbank	interbancair	76
interlock	verrouillage	interlock	verrouillag	30
irk	contrarier	irk	contrari	18
ironwork	ferronnerie	ironwork	ferronner	47
jack	jack	jack	jack	100
jaywalk	marcher sur la chaussée	jaywalk	marcher sur la chauss	14
jerk	secousse	jerk	secouss	18
jock	jock	jock	jock	100
joystick	manette	joystick	manet	15
junk	déchet	junk	déchet	0
kayak	kayak	kayak	kayak	100
kick	coup	kick	coup	25
kickback	rebond	kickback	rebond	14
kinfolk	parents	kinfolk	parent	15
kink	entortiller	kink	entortill	15
kinsfolk	parenté	kinsfolk	parent	14
kiosk	kiosque	kiosk	kiosqu	73
kirk	église	kirk	églis	22
klick	klick	klick	klick	100
knack	truc	knack	truc	22
knapsack	sac à dos	knapsack	sac à dos	35
knock	frappe	knock	frapp	0
lacework	dentelle	lacework	dentel	14
lack	manquer de	lack	manquer d	15
landmark	repère	landmark	reper	15
lank	grêle	lank	grêl	25
lark	alouette	lark	alouet	20
leak	fuir	leak	fuir	0
leek	poireau	leek	poireau	18
legwork	travail de jambe	legwork	travail de jamb	18
lick	lécher	lick	lech	50
lifework	le travail de la vie	lifework	le travail de la v	23
limerick	Limerick	limerick	limerick	100
link	lien	link	lien	75
lipstick	rouge à lèvres	lipstick	rouge à levr	10
livestock	bétail	livestock	bétail	13
lock	fermer à clé	lock	fermer à cl	13
logbook	registre	logbook	registr	14
look	voir	look	voir	25
lovesick	Malade d'amour	lovesick	malade d'amour	18
lovestruck	amoureux	lovestruck	amour	27
luck	la chance	luck	la chanc	33
lumberjack	bûcheron	lumberjack	bûcheron	33
lunchpack	déjeuner	lunchpack	déjeun	27
lurk	se cacher	lurk	se cach	0
mark	marque	mark	marqu	67
mask	masquer	mask	masqu	67
masterwork	chef-d'œuvre	masterwork	chef-d'œuvr	19
matchstick	allumette	matchstick	allumet	24
maverick	Maverick	maverick	maverick	100
meek	doux	meek	doux	0
menfolk	hommes	menfolk	homm	18
metalwork	ferronnerie	metalwork	ferronner	33
midweek	milieu de la semaine	midweek	milieu de la semain	38
milk	Lait	milk	lait	25
mink	vison	mink	vison	44
mistook	trompé	mistook	tromp	17
mock	moquer	mock	moqu	50
monk	moine	monk	moin	75
muck	boue	muck	bou	29
murk	obscurité	murk	obscur	40
musk	musc	musk	musc	75
muzak	muzak	muzak	muzak	100
neck	cou	neck	cou	29
needlework	travaux d'aiguille	needlework	travaux d'aiguill	15
network	réseau	network	réseau	15
newlook	nouveau look	newlook	nouveau look	63
nick	pseudo	nick	pseudo	0
nook	coin	nook	coin	25
notebook	carnet	notebook	carnet	29
oak	chêne	oak	chên	0
obelisk	obélisque	obelisk	obélisqu	67
oink	oink	oink	oink	100
ok	d'accord	ok	d'accord	20
outback	outback	outback	outback	100
outbreak	épidémie	outbreak	épidem	14
outflank	déborder	outflank	débord	14
outlook	perspectives	outlook	perspect	13
outrank	dépasser	outrank	dépass	15
outwork	travail à domicile	outwork	travail à domicil	8
overcook	trop cuire	overcook	trop cuir	24
overlook	négliger	overlook	néglig	14
overtook	a dépassé	overtook	a dépass	0
overwork	surmenage	overwork	surmenag	12
pack	pack	pack	pack	100
paddock	paddock	paddock	paddock	100
padlock	cadenas	padlock	caden	33
paintwork	peinture	paintwork	peintur	62
paperback	broché	paperback	broch	29
paperwork	formalités administratives	paperwork	formalités administr	14
park	se garer	park	se gar	40
partook	a participé	partook	a particip	47
passmark	moyenne	passmark	moyen	15
patchwork	patchwork	patchwork	patchwork	100
payback	remboursement	payback	rembours	13
peacock	paon	peacock	paon	55
peak	de pointe	peak	de point	17
peck	picorer	peck	picor	44
peek	coup d'oeil	peek	coup d'oeil	27
perk	avantage	perk	avantag	0
phrasebook	guide de conversation	phrasebook	guide de convers	15
pick	prendre	pick	prendr	20
piecework	travail à la pièce	piecework	travail à la piec	31
piggyback	ferroutage	piggyback	ferroutag	11
pink	rose	pink	ros	0
pinprick	piqûre	pinprick	piqûr	46
pipework	tuyauterie	pipework	tuyauter	25
pitchdark	obscurité totale	pitchdark	obscurité total	25
pitchfork	fourche	pitchfork	fourch	27
plank	planche	plank	planch	73
plasterwork	plâtrerie	plasterwork	plâtrer	56
playback	relecture	playback	relectur	25
pluck	cueillir	pluck	cueil	20
pock	pock	pock	pock	100
pocketbook	portefeuille	pocketbook	portefeuill	29
pointblank	pointillé	pointblank	pointill	67
poloneck	col roulé	poloneck	col roul	38
poppycock	Balivernes	poppycock	balivern	0
pork	porc	pork	porc	75
postmark	cachet de la poste	postmark	cachet de la post	32
prank	blague	prank	blagu	20
prayerbook	Livre de prière	prayerbook	livre de pri	18
prick	piquer	prick	piqu	44
punk	punk	punk	punk	100
quack	charlatan	quack	charlatan	14
quark	quark	quark	quark	100
quarterback	stratège	quarterback	strateg	33
quick	vite-fait	quick	vite-f	18
quirk	bizarrerie	quirk	bizarrer	31
racetrack	piste de course	racetrack	piste de cours	9
rack	étagère	rack	étager	20
rank	rang	rank	rang	75
ransack	saccager	ransack	saccag	46
realpolitik	realpolitik	realpolitik	realpolitik	100
rebook	changer de réservation	rebook	changer de réserv	17
recheck	revérifier	recheck	revérifi	27
redneck	redneck	redneck	redneck	100
reek	puanteur	reek	puanteur	17
relink	relier	relink	reli	80
remark	remarque	remark	remarqu	77
repack	remballer	repack	remball	46
restock	réapprovisionner	restock	réapprovision	30
rethink	repenser	rethink	repens	46
retook	repris	retook	repr	40
rework	retravailler	rework	retravaill	38
rick	meule	rick	meul	0
rink	patinoire	rink	patinoir	33
risk	risque	risk	risqu	67
roadblock	barrage routier	roadblock	barrage routi	18
rock	Roche	rock	roch	75
roebuck	chevreuil	roebuck	chevreuil	38
rook	tour	rook	tour	25
roundtheclock	rondelle	roundtheclock	rondel	63
ruck	mêlée ouverte	ruck	mêlée ouvert	12
rucksack	sac à dos	rucksack	sac à dos	35
rulebook	livret de règles	rulebook	livret de regl	18
rusk	biscotte	rusk	biscott	18
sack	sac	sack	sac	86
sadsack	triste	sadsack	trist	17
sandbank	banc de sable	sandbank	banc de s	35
sank	coulé	sank	coul	0
scrapbook	album	scrapbook	album	29
seasick	mal de mer	seasick	mal de m	13
seek	chercher	seek	cherch	20
setback	revers	setback	rever	17
shack	cabane	shack	caban	20
shamrock	trèfle	shamrock	trefl	15
shank	jarret	shank	jarret	18
shark	requin	shark	requin	18
sheik	cheik	sheik	cheik	80
sherlock	Sherlock	sherlock	sherlock	100
shipwreck	Naufrage	shipwreck	naufrag	12
shirk	se dérober	shirk	se dérob	31
shock	choc	shock	choc	67
shook	secoué	shook	secou	40
shrank	rétréci	shrank	rétrec	17
shriek	cri	shriek	cri	44
shrink	rétrécir	shrink	rétrec	17
shrunk	rétréci	shrunk	rétrec	17
shuttlecock	volant	shuttlecock	vol	14
sick	malade	sick	malad	0
sidekick	acolyte	sidekick	acolyt	14
sidetrack	dérouter	sidetrack	dérout	27
sidewalk	trottoir	sidewalk	trottoir	12
silk	soie	silk	soi	57
sink	évier	sink	évi	29
sjambok	sjambok	sjambok	sjambok	100
sketchbook	carnet de croquis	sketchbook	carnet de croqu	32
skulk	skulk	skulk	skulk	100
skunk	moufette	skunk	moufet	18
skylark	alouette	skylark	alouet	15
slack	mou	slack	mou	0
slapstick	slapstick	slapstick	slapstick	100
sleek	lisse	sleek	liss	22
sleepwalk	somnambule	sleepwalk	somnambul	22
slick	nappe	slick	napp	0
slink	slink	slink	slink	100
slovak	slovaque	slovak	slovaqu	77
slunk	slunk	slunk	slunk	100
smack	claque	smack	claqu	20
smalltalk	petite conversation	smalltalk	petite convers	9
smirk	petit sourire satisfait	smirk	petit sourire satisf	24
smock	blouse	smock	blous	20
smokestack	cheminée	smokestack	chemin	12
snack	goûter	snack	goût	0
sneak	se faufiler	sneak	se faufil	43
snick	petite entaille	snick	petite entaill	21
snoek	snoek	snoek	snoek	100
soak	tremper	soak	tremp	0
sock	chaussette	sock	chausset	17
songbook	recueil de chansons	songbook	recueil de chanson	23
souk	souk	souk	souk	100
soundcheck	Sound check	soundcheck	sound check	95
soundtrack	bande sonore	soundtrack	bande sonor	38
spadework	spadework	spadework	spadework	100
spank	donner une fessée à	spank	donner une fessée à	8
spark	étincelle	spark	étincel	0
sparrowhawk	épervier	sparrowhawk	épervi	24
speak	parler	speak	parl	44
speck	grain	speck	grain	0
spook	effrayer	spook	effrai	0
springbok	Springbok	springbok	springbok	100
sputnik	spoutnik	sputnik	spoutnik	93
squawk	brailler	squawk	braill	17
squeak	grincer	squeak	grinc	0
stack	empiler	stack	empil	0
stalk	traquer	stalk	traqu	40
stank	puait	stank	pu	0
stark	rigide	stark	rigid	20
starstruck	starstruck	starstruck	starstruck	100
steak	bifteck	steak	bifteck	50
steelwork	charpente métallique	steelwork	charpente métall	24
steeplejack	steeplejack	steeplejack	steeplejack	100
stick	coller	stick	coll	22
stickleback	épinoche	stickleback	épinoch	22
stink	puer	stink	pu	0
stock	Stock	stock	stock	100
stonework	maçonnerie	stonework	maçonner	47
stopcock	robinet	stopcock	robinet	13
stork	cigogne	stork	cigogn	18
storybook	livre de contes	storybook	livre de cont	9
streak	traînée	streak	traîn	55
struck	frappé	struck	frapp	18
stuck	bloqué	stuck	bloqu	20
suck	sucer	suck	suc	86
sulk	bouder	sulk	boud	25
sunblock	crème solaire	sunblock	crème solair	20
sunk	coulé	sunk	coul	25
switchback	retour en arrière	switchback	retour en arri	8
tack	clouer	tack	clou	25
talk	parler	talk	parl	50
talkback	Répondre	talkback	répondr	0
tank	Char	tank	char	25
task	tâche	task	tâch	25
teak	teck	teak	teck	75
teamwork	travail en équipe	teamwork	travail en équip	17
textbook	cahier de texte	textbook	cahier de text	36
thank	remercier	thank	remerci	0
thick	épais	thick	épais	20
think	pense	think	pens	22
thinktank	thinktank	thinktank	thinktank	100
throwback	retour	throwback	retour	27
thunderstruck	abasourdi	thunderstruck	abasourd	19
thwack	claquement	thwack	claqu	18
tick	cocher	tick	coch	25
tiebreak	jeu décisif	tiebreak	jeu décis	12
tokamak	tokamak	tokamak	tokamak	100
tomahawk	tomahawk	tomahawk	tomahawk	100
tongueincheek	langue	tongueincheek	langu	33
took	pris	took	pris	0
toothpick	cure-dent	toothpick	cure-dent	11
townsfolk	citadins	townsfolk	citadin	25
track	Piste	track	pist	22
trademark	marque déposée	trademark	marque dépos	29
trek	randonnée	trek	randon	20
trick	tour	trick	tour	44
truck	un camion	truck	un camion	29
trunk	tronc	trunk	tronc	60
tuck	replier	tuck	repli	0
turk	Turc	turk	turc	75
turtleneck	col roulé	turtleneck	col roul	22
tusk	défense	tusk	défens	20
tussock	touffe	tussock	touff	33
tweak	tordre	tweak	tordr	20
unblock	Débloquer	unblock	débloqu	43
undertook	entrepris	undertook	entrepr	38
unhook	décrocher	unhook	décroch	15
unlink	dissocier	unlink	dissoci	15
unlock	ouvrir	unlock	ouvr	20
unmask	démasquer	unmask	démasqu	46
unpack	déballer	unpack	déball	17
unpick	défaire	unpick	défair	17
unstack	décompresser	unstack	décompress	12
unstuck	décollé	unstuck	décoll	15
uplink	liaison montante	uplink	liaison mont	33
walk	marcher	walk	march	22
warlock	démoniste	warlock	démon	17
watermark	filigrane	watermark	filigran	12
waxwork	cire	waxwork	cir	20
weak	faible	weak	faibl	22
weathercock	girouette	weathercock	girouet	22
wedlock	mariage	wedlock	mariag	0
week	semaine	week	semain	20
whack	battre	whack	battr	20
whelk	buccin	whelk	buccin	0
whisk	fouet	whisk	fouet	0
wick	mèche	wick	mech	25
wickerwork	vannerie	wickerwork	vanner	25
windbreak	brise-vent	windbreak	brise-vent	32
windsock	manche à air	windsock	manche à air	10
wink	clin d'œil	wink	clin d'œil	29
wok	wok	wok	wok	100
womenfolk	femmes	womenfolk	femm	15
woodcock	bécasse	woodcock	bec	18
woodwork	boiseries	woodwork	boiser	29
work	travailler	work	travaill	17
workbook	classeur	workbook	classeur	12
workweek	semaine de travail	workweek	semaine de travail	8
wrack	varech	wrack	varech	36
wreak	assouvir	wreak	assouv	18
wreck	épave	wreck	épav	0
yak	yak	yak	yak	100
yalelock	yalelock	yalelock	yalelock	100
yank	coup sec	yank	coup sec	0
yardstick	l'indicateur	yardstick	l'indiqu	24
yearbook	annuaire	yearbook	annuair	27
yolk	Jaune d'œuf	yolk	jaune d'œuf	0
york	York	york	york	100
yuck	beurk	yuck	beurk	44
abductor	ravisseur	abductor	ravisseur	35
abhor	abhorrer	abhor	abhorr	91
accelerator	accélérateur	acceler	accéler	86
acceptor	accepteur	acceptor	accepteur	82
accumulator	accumulateur	accumul	accumul	100
activator	activateur	activ	activ	100
actor	acteur	actor	acteur	73
actuator	actionneur	actuat	actionneur	50
adaptor	adaptateur	adaptor	adapt	83
adjudicator	arbitre	adjud	arbitr	18
administrator	administrateur	administr	administr	100
aerator	aérateur	aerat	aérateur	62
aggressor	agresseur	aggressor	agresseur	78
agitator	agitateur	agit	agit	100
alligator	alligator	allig	alligator	71
allocator	allocateur	alloc	alloc	100
alternator	alternateur	altern	altern	100
ambassador	ambassadeur	ambassador	ambassadeur	86
ancestor	ancêtre	ancestor	ancêtr	71
anchor	ancre	anchor	ancre	73
animator	animateur	anim	anim	100
anterior	antérieur	anterior	antérieur	71
applicator	applicateur	applic	appliqu	77
arbitrator	arbitre	arbitr	arbitr	100
arbor	tonnelle	arbor	tonnel	18
assessor	assesseur	assessor	assesseur	82
attenuator	atténuateur	attenu	atténu	83
attractor	attracteur	attractor	attracteur	84
auditor	Auditeur	auditor	auditeur	80
authenticator	authentificateur	authent	authentif	88
author	auteur	author	auteur	67
aviator	aviateur	aviat	aviateur	77
bachelor	bachelier	bachelor	bacheli	80
benefactor	bienfaiteur	benefactor	bienfaiteur	67
boor	rustre	boor	rustr	22
calculator	calculatrice	calcul	calcul	100
calibrator	calibrateur	calibr	calibr	100
camphor	camphre	camphor	camphr	92
cantor	chantre	cantor	chantr	83
capacitor	condensateur	capacitor	condens	25
captor	ravisseur	captor	ravisseur	27
carburettor	carburateur	carburettor	carbur	71
castor	castor	castor	castor	100
censor	censurer	censor	censur	83
chancellor	chancelier	chancellor	chanceli	78
chiropractor	chiropracteur	chiropractor	chiropracteur	88
coauthor	coauteur	coauthor	coauteur	75
collaborator	collaborateur	collabor	collabor	100
collector	collectionneur	collector	collectionneur	78
collimator	collimateur	collim	collim	100
commentator	commentateur	comment	comment	100
communicator	communicateur	commun	commun	100
commutator	commutateur	commut	commut	100
comparator	comparateur	compar	compar	100
compensator	compensateur	compens	compens	100
competitor	concurrent	competitor	concurrent	40
compositor	compositeur	compositor	compositeur	86
compressor	compresseur	compressor	compresseur	86
concentrator	concentrateur	concentr	concentr	100
conciliator	conciliateur	concili	concili	100
condor	condor	condor	condor	100
conductor	conducteur	conductor	conducteur	84
confessor	confesseur	confessor	confesseur	84
conjuror	prestidigitateur	conjuror	prestidigit	11
connector	connecteur	connector	connecteur	84
conqueror	conquérant	conqueror	conquer	88
conquistador	conquistador	conquistador	conquistador	100
conservator	conservateur	conserv	conserv	100
conspirator	conspirateur	conspir	conspir	100
constrictor	constricteur	constrictor	constricteur	87
constructor	constructeur	constructor	constructeur	87
contractor	prestataire	contractor	prestatair	20
contributor	donateur	contributor	donateur	42
convector	convecteur	convector	convecteur	84
convenor	animateur	convenor	anim	17
convertor	convertisseur	convertor	convertisseur	73
conveyor	convoyeur	conveyor	convoyeur	71
coordinator	coordinateur	coordin	coordin	100
coprocessor	coprocesseur	coprocessor	coprocesseur	87
cor	cor	cor	cor	100
corrector	correcteur	corrector	correcteur	84
corridor	couloir	corridor	couloir	40
councillor	conseiller	councillor	conseil	59
counsellor	conseiller	counsellor	conseil	71
creator	créateur	creator	créateur	67
creditor	créancier	creditor	créanci	40
cultivator	cultivateur	cultiv	cultiv	100
curator	conservateur	curat	conserv	33
cursor	le curseur	cursor	le curseur	62
debtor	débiteur	debtor	débiteur	43
decor	décor	decor	décor	80
decorator	décorateur	decor	décor	80
defector	transfuge	defector	transfug	12
defibrillator	défibrillateur	defibril	défibrill	82
deflector	déflecteur	deflector	déflecteur	74
demodulator	démodulateur	demodul	démodul	86
demonstrator	démonstrateur	demonstr	démonstr	88
denominator	dénominateur	denomin	dénomin	86
descriptor	descripteur	descriptor	descripteur	86
desiccator	dessiccateur	desicc	dessicc	92
designator	désignateur	design	désign	83
detector	détecteur	detector	détecteur	71
detonator	détonateur	deton	déton	80
detractor	détracteur	detractor	détracteur	74
dictator	dictateur	dictat	dictateur	80
dilator	dilatateur	dilat	dilat	100
director	réalisateur	director	réalis	14
discriminator	discriminateur	discrimin	discrimin	100
disruptor	perturbateur	disruptor	perturb	38
dissector	dissecteur	dissector	dissecteur	84
distributor	distributeur	distributor	distributeur	87
divisor	diviseur	divisor	diviseur	80
doctor	médecin	doctor	médecin	31
donor	donneur	donor	donneur	67
door	porte	door	port	50
dor	dor	dor	dor	100
duplicator	duplicateur	duplic	dupliqu	77
ecuador	Equateur	ecuador	equateur	53
editor	éditeur	editor	éditeur	62
educator	éducateur	educ	éduc	75
effector	effecteur	effector	effecteur	82
ejector	éjecteur	ejector	éjecteur	67
elector	électeur	elector	électeur	67
elevator	ascenseur	elev	ascenseur	31
eliminator	éliminateur	elimin	élimin	83
emancipator	émancipateur	emancip	émancip	86
emperor	empereur	emperor	empereur	80
emulator	émulateur	emul	émul	75
enumerator	recenseur	enumer	recenseur	53
ephor	éphor	ephor	éphor	80
equator	équateur	equat	équateur	62
error	Erreur	error	erreur	73
escalator	escalier mécanique	escal	escalier mécan	53
estimator	estimateur	estim	estim	100
evaluator	évaluateur	evalu	évalu	80
evaporator	évaporateur	evapor	évapor	83
excavator	excavatrice	excav	excav	100
excelsior	excelsior	excelsior	excelsior	100
executor	exécuteur	executor	exécuteur	71
exhibitor	exposant	exhibitor	expos	43
exterior	extérieur	exterior	extérieur	71
exterminator	exterminateur	extermin	extermin	100
extractor	extracteur	extractor	extracteur	84
fabricator	fabricant	fabric	fabric	100
facilitator	facilitateur	facilit	facilit	100
factor	facteur	factor	facteur	77
flexor	fléchisseur	flexor	fléchisseur	47
floor	étage	floor	étag	0
